Ontology ID	label	has curation status	alternative term	definition	definition source	example of usage	editor note	term editor	ontology term requester	term tracker item	logical type	logical note	parent class	material processing technique	detection technique	evaluant	analyte	device	reagent	molecular label	input	output	target entity	objective	associated axioms	measurand	see also
ID	A rdfs:label	AI has curation status	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A example of usage SPLIT=|	A editor note SPLIT=|	A term editor SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE		C % SPLIT=|	C 'has part' some % SPLIT=|	C 'has part' some % SPLIT=|	C (has_specified_input some (% and 'has role' some 'evaluant role')) and (realizes some ('evaluant role' and ('role of' some %))) SPLIT=|	C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))) SPLIT=|	C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some ('molecular label role' and ('inheres in' some %)))	C has_specified_input some %	C has_specified_output some %	C has_specified_output some ('is about' some %)	C achieves_planned_objective some %	C %	C (has_specified_input some %) and (realizes some ('measurand role' and ('inheres in' some %)))	AI see also
http://transformunify.org/ontologies/TURBO_0010721	"point-in time, quantitative, mass/volume blood plasma or serum glucose concentration assay"										subclass		assay			blood plasma specimen|blood serum specimen					blood serum or plasma union class	concentration measurment datum				glucose	https://loinc.org/2345-7/
http://transformunify.org/ontologies/TURBO_0010725	"point-in time, quantitative, mass/volume blood glucose concentration assay"										subclass		assay			blood specimen					blood	concentration measurment datum				glucose	https://loinc.org/2339-0/
http://transformunify.org/ontologies/TURBO_0010726	"point-in time, quantitative, mass/volume blood hemoglobin concentration assay"										subclass		assay			blood specimen					blood	concentration measurment datum				hemoglobin	https://loinc.org/718-7/
http://transformunify.org/ontologies/TURBO_0010727	"point-in time, quantitative, mass/volume urine urobilinogen concentration assay"										subclass		assay			urine specimen					urine	concentration measurment datum				urobilinogen	https://loinc.org/3107-0/
http://transformunify.org/ontologies/TURBO_0010728	"24 hour, quantitative, mass/volume urine urobilinogen concentration assay"										subclass		assay	('specimen collection process' and realizes some(concretizes some '24 hour sample collection specification' ))		urine specimen					urine	concentration measurment datum				urobilinogen	https://loinc.org/28007-3/
http://transformunify.org/ontologies/TURBO_0010729	"point-in time, quantitative, mass/volume urine ALPRAZolam concentration assay"										subclass		assay			urine specimen					urine	concentration measurment datum				alprazolam	https://loinc.org/59615-5/
http://transformunify.org/ontologies/TURBO_0010730	"point-in time, quantitative, mass/volume blood plasma or serum benzodiazepines concentration assay"										subclass		assay			blood plasma specimen|blood serum specimen					blood serum or plasma union class	concentration measurment datum				benzodiazepine	https://loinc.org/11024-7/
http://transformunify.org/ontologies/TURBO_0010731	"point-in time, quantitative, count/volume blood neutrophil assay"										subclass		assay			blood specimen					blood	count per volume datum				neutrophil	https://loinc.org/751-8/
http://transformunify.org/ontologies/TURBO_0010732	"point-in time, quantitative, automated, volume/volume blood hematocrit assay"										subclass		assay			blood specimen					blood	volume per volume datum				erythrocyte	https://loinc.org/4544-3/
